Timestamp,Inverter_Status,AC_Power,AC_Current,AC_Voltage,AC_Frequency,DC_Current,DC_Voltage
2023-01-01 08:55:00,4.0,389.47,1.91,204.69,60.0,1.0,426.59
2023-01-01 09:00:00,4.0,584.83,2.87,204.82,60.0,1.48,423.81
2023-01-01 09:05:00,4.0,818.91,4.01,204.87,60.0,2.06,417.97
2023-01-01 09:10:00,4.0,1037.65,5.06,205.42,60.0,2.62,416.03
2023-01-01 09:15:00,4.0,1240.0,6.03,205.74,59.99,3.14,413.27
2023-01-01 09:20:00,4.0,1474.35,7.17,205.8,59.99,3.76,406.88
2023-01-01 09:25:00,4.0,1712.4,8.33,205.86,60.0,4.2,424.45
2023-01-01 09:30:00,4.0,1947.7,9.46,205.96,60.0,4.62,435.66
2023-01-01 09:35:00,4.0,2102.9,10.22,205.88,60.01,5.04,432.03
2023-01-01 09:40:00,4.0,2260.18,10.98,205.97,60.01,5.48,426.04
2023-01-01 09:45:00,4.0,2399.83,11.64,206.26,60.01,5.94,417.33
2023-01-01 09:50:00,4.0,2503.07,12.13,206.36,60.01,6.12,422.11
2023-01-01 09:55:00,4.0,2598.3,12.56,206.88,60.02,6.4,418.76
2023-01-01 10:00:00,4.0,2669.65,12.91,206.91,60.0,6.58,417.45
2023-01-01 10:05:00,4.0,2726.78,13.21,206.48,60.02,6.76,416.15
2023-01-01 10:10:00,4.0,2801.61,13.57,206.58,59.99,6.96,415.94
2023-01-01 10:15:00,4.0,2867.42,13.89,206.55,59.99,7.12,415.9
2023-01-01 10:20:00,4.0,2932.7,14.18,206.8,60.0,7.28,416.05
2023-01-01 10:25:00,4.0,2997.13,14.49,206.89,60.0,7.44,415.85
2023-01-01 10:30:00,4.0,3056.46,14.78,206.87,60.01,7.58,415.52
2023-01-01 10:35:00,4.0,3132.87,15.14,206.88,60.01,7.58,427.57
2023-01-01 10:40:00,4.0,3186.09,15.41,206.75,60.01,7.64,430.04
2023-01-01 10:45:00,4.0,3219.96,15.58,206.72,60.0,7.74,428.24
2023-01-01 10:50:00,4.0,3249.03,15.7,206.96,60.0,7.86,426.15
2023-01-01 10:55:00,4.0,3289.33,15.88,207.16,59.99,7.96,425.74
2023-01-01 11:00:00,4.0,3327.0,16.04,207.37,60.0,8.06,425.39
2023-01-01 11:05:00,4.0,3349.17,16.17,207.21,60.0,8.14,424.05
2023-01-01 11:10:00,4.0,3362.0,16.23,207.2,60.0,8.26,419.47
2023-01-01 11:15:00,4.0,3383.65,16.34,207.07,60.0,8.34,418.11
2023-01-01 11:20:00,4.0,3423.61,16.53,207.19,60.01,8.4,420.36
2023-01-01 11:25:00,4.0,3451.39,16.66,207.22,60.01,8.48,419.4
2023-01-01 11:30:00,4.0,3462.17,16.69,207.39,60.01,8.54,417.37
2023-01-01 11:35:00,4.0,3485.47,16.8,207.49,60.02,8.58,418.18
2023-01-01 11:40:00,4.0,3509.96,16.92,207.47,60.01,8.64,418.64
2023-01-01 11:45:00,4.0,3516.74,16.97,207.29,60.0,8.68,417.34
2023-01-01 11:50:00,4.0,3518.53,16.97,207.3,60.0,8.7,416.43
2023-01-01 11:55:00,4.0,3508.0,16.93,207.19,59.99,8.7,415.72
