Timestamp,Module_Temperature_degF,Ambient_Temperature_degF,Solar_Irradiation_Wpm2,Wind_Speed_mps
2022-01-01 09:20:00,58.5,54.93,0.47,0.0
2022-01-01 09:25:00,58.4,55.17,1.87,0.0
2022-01-01 09:30:00,58.9,55.5,8.87,0.0
2022-01-01 09:35:00,58.37,54.87,0.47,0.0
2022-01-01 09:50:00,58.67,55.03,0.47,0.0
2022-01-01 09:55:00,58.47,55.13,10.27,0.0
2022-01-01 10:00:00,58.63,55.33,17.27,0.0
2022-01-01 10:05:00,58.9,55.63,35.93,0.03
2022-01-01 10:10:00,59.17,55.3,40.6,0.07
2022-01-01 10:15:00,58.7,54.97,35.47,0.0
2022-01-01 10:20:00,59.1,55.67,36.4,0.0
2022-01-01 10:25:00,59.37,55.6,40.6,0.0
2022-01-01 10:30:00,59.73,55.63,28.93,0.0
2022-01-01 10:35:00,59.57,56.03,20.53,0.0
2022-01-01 10:40:00,59.5,55.33,3.27,0.0
2022-01-01 10:45:00,59.67,55.9,0.47,0.0
2022-01-01 10:50:00,59.6,55.83,7.0,0.0
2022-01-01 10:55:00,59.47,56.23,42.93,0.0
2022-01-01 11:00:00,60.23,55.9,56.93,0.0
2022-01-01 11:05:00,60.13,56.3,63.0,0.0
2022-01-01 11:10:00,60.73,56.77,58.33,0.0
2022-01-01 11:15:00,60.57,56.87,47.13,0.0
2022-01-01 11:20:00,60.33,56.73,45.73,0.0
2022-01-01 11:25:00,60.4,56.9,48.53,0.0
2022-01-01 11:30:00,60.57,56.23,65.33,0.0
2022-01-01 11:35:00,60.37,56.03,57.87,0.0
2022-01-01 11:40:00,60.93,56.87,61.13,0.0
2022-01-01 11:45:00,60.87,56.43,62.07,0.0
2022-01-01 11:50:00,61.33,57.7,68.0,0.0
2022-01-01 11:55:00,61.2,56.77,71.0,0.0
2022-01-01 12:00:00,61.63,57.03,67.73,0.0
2022-01-01 12:05:00,61.5,57.1,90.9,0.0
2022-01-01 12:10:00,61.77,57.07,89.53,0.0
2022-01-01 12:15:00,62.0,57.37,66.33,0.0
2022-01-01 12:20:00,62.37,58.07,54.6,0.0
2022-01-01 12:25:00,61.83,57.7,42.0,0.0
2022-01-01 12:30:00,61.77,57.5,43.4,0.0
2022-01-01 12:35:00,61.37,56.9,43.4,0.0
2022-01-01 12:40:00,61.4,57.47,42.0,0.0
2022-01-01 12:45:00,61.23,56.9,55.53,0.0
2022-01-01 12:50:00,60.57,56.4,61.6,0.13
2022-01-01 12:55:00,61.4,57.0,48.53,0.03
2022-01-01 13:00:00,61.47,57.3,52.27,0.07
2022-01-01 13:05:00,61.5,57.77,85.8,0.07
2022-01-01 13:10:00,61.9,58.17,90.57,0.0
2022-01-01 13:15:00,61.97,57.87,104.13,0.07
2022-01-01 13:20:00,62.23,57.83,169.83,0.03
2022-01-01 13:25:00,62.7,58.13,67.9,0.0
2022-01-01 13:30:00,63.13,58.8,63.47,0.0
2022-01-01 13:35:00,63.0,58.43,74.03,0.0
2022-01-01 13:40:00,62.3,57.37,78.97,0.0
2022-01-01 13:45:00,63.27,58.83,73.1,0.0
2022-01-01 13:50:00,63.17,58.23,61.6,0.0
2022-01-01 13:55:00,63.6,59.2,48.53,0.0
2022-01-01 14:00:00,63.03,58.2,44.33,0.0
2022-01-01 14:05:00,63.63,59.27,39.67,0.0
2022-01-01 14:10:00,63.23,59.13,38.73,0.0
