Timestamp,Module_Temperature_degF,Ambient_Temperature_degF,Solar_Irradiation_Wpm2,Wind_Speed_mps
2023-11-15 08:15:00,43.6,34.97,97.13,0.0
2023-11-15 08:20:00,44.23,34.13,95.27,0.0
2023-11-15 08:25:00,44.57,34.9,99.93,0.0
2023-11-15 08:30:00,45.43,36.07,106.47,0.0
2023-11-15 08:35:00,45.63,35.9,116.73,0.0
2023-11-15 08:40:00,46.0,37.17,129.33,0.0
2023-11-15 08:45:00,46.13,37.23,141.0,0.0
2023-11-15 08:50:00,46.67,37.6,150.33,0.0
2023-11-15 08:55:00,47.57,37.53,176.53,0.0
2023-11-15 09:00:00,47.63,38.93,194.27,0.0
2023-11-15 09:05:00,49.37,39.03,203.13,0.0
2023-11-15 09:10:00,49.13,40.03,208.3,0.07
2023-11-15 09:15:00,50.1,39.8,240.43,0.0
2023-11-15 09:20:00,50.37,39.97,274.6,0.0
2023-11-15 09:25:00,51.43,40.77,291.43,0.03
2023-11-15 09:30:00,52.77,42.47,322.23,0.07
2023-11-15 09:35:00,52.67,44.37,306.97,0.0
2023-11-15 09:40:00,53.43,43.27,315.87,0.1
2023-11-15 09:45:00,53.9,43.57,303.53,0.0
2023-11-15 09:50:00,54.23,44.83,311.1,0.0
2023-11-15 09:55:00,54.2,47.5,258.27,0.0
2023-11-15 10:00:00,55.5,44.4,272.27,0.0
2023-11-15 10:05:00,55.33,44.97,301.2,0.07
2023-11-15 10:10:00,55.6,44.53,334.87,0.03
2023-11-15 10:15:00,56.53,45.73,334.3,0.1
2023-11-15 10:20:00,57.17,46.8,352.73,0.03
2023-11-15 10:25:00,57.62,48.0,335.21,0.04
2023-11-15 10:30:00,57.67,49.23,358.13,0.0
2023-11-15 10:35:00,58.9,48.03,368.1,0.03
2023-11-15 10:40:00,60.04,49.25,361.33,0.04
2023-11-15 10:45:00,60.83,49.33,408.07,0.0
2023-11-15 10:50:00,60.77,49.37,408.57,0.0
2023-11-15 10:55:00,63.03,51.1,563.73,0.17
2023-11-15 11:00:00,64.3,52.27,388.37,0.1
2023-11-15 11:05:00,64.53,53.27,383.03,0.77
2023-11-15 11:10:00,63.07,52.87,444.07,0.57
2023-11-15 11:15:00,63.37,53.33,428.3,0.23
2023-11-15 11:20:00,63.5,53.12,425.0,0.46
2023-11-15 11:25:00,64.03,53.93,479.53,0.27
2023-11-15 11:30:00,64.7,53.97,639.73,0.3
2023-11-15 11:35:00,65.62,55.21,478.42,0.33
2023-11-15 11:40:00,65.75,54.96,500.83,1.17
2023-11-15 11:45:00,63.93,54.6,383.63,1.23
2023-11-15 11:50:00,64.37,54.87,435.6,1.0
2023-11-15 11:55:00,64.47,55.73,458.8,1.1
2023-11-15 12:00:00,64.53,56.2,441.2,1.13
2023-11-15 12:05:00,63.53,55.67,415.3,1.87
2023-11-15 12:10:00,62.6,55.1,334.2,2.63
2023-11-15 12:15:00,62.03,55.07,345.63,2.07
2023-11-15 12:20:00,62.1,54.8,405.87,1.7
2023-11-15 12:25:00,63.13,55.73,368.3,2.47
2023-11-15 12:30:00,62.93,55.83,373.53,2.6
2023-11-15 12:35:00,63.33,56.3,405.27,1.27
2023-11-15 12:40:00,64.14,56.62,442.76,2.0
2023-11-15 12:45:00,64.3,56.47,515.47,1.5
2023-11-15 12:50:00,65.1,57.17,319.03,1.43
2023-11-15 12:55:00,64.33,56.87,268.1,0.47
2023-11-15 13:00:00,63.5,56.6,262.93,1.4
2023-11-15 13:05:00,62.87,56.7,285.53,1.6
2023-11-15 13:10:00,62.63,55.93,251.27,0.87
2023-11-15 13:15:00,63.13,56.4,249.87,1.23
2023-11-15 13:20:00,62.13,55.8,241.47,1.43
2023-11-15 13:25:00,62.13,56.07,224.13,1.57
2023-11-15 13:30:00,61.77,55.77,204.53,0.97
2023-11-15 13:35:00,61.77,55.83,269.17,0.73
2023-11-15 13:40:00,62.27,56.17,323.4,2.23
2023-11-15 13:45:00,62.47,56.6,295.13,1.37
2023-11-15 13:50:00,63.1,57.13,279.63,1.53
2023-11-15 13:55:00,63.17,57.33,321.53,1.83
2023-11-15 14:00:00,63.5,57.47,415.13,1.13
2023-11-15 14:05:00,63.8,57.9,349.07,2.63
2023-11-15 14:10:00,63.5,57.6,249.93,2.5
