Timestamp,Inverter_Status,AC_Power,AC_Current,AC_Voltage,AC_Frequency,DC_Current,DC_Voltage
2023-11-14 08:25:00,4.0,541.17,2.63,206.26,60.01,1.4,417.91
2023-11-14 08:30:00,4.0,652.8,3.17,206.41,60.01,1.64,424.85
2023-11-14 08:35:00,4.0,877.62,4.26,206.64,60.02,2.18,425.82
2023-11-14 08:40:00,4.0,1182.27,5.72,206.99,60.02,2.86,431.81
2023-11-14 08:45:00,4.0,1385.7,6.69,207.12,60.02,3.24,444.2
2023-11-14 08:50:00,4.0,1709.77,8.25,207.47,60.01,3.98,445.44
2023-11-14 08:55:00,4.0,2001.13,9.63,207.83,60.0,4.7,441.81
2023-11-14 09:00:00,4.0,2040.38,9.81,208.15,60.02,4.82,437.87
2023-11-14 09:05:00,4.0,2223.37,10.68,208.29,60.02,5.26,437.04
2023-11-14 09:10:00,4.0,2346.13,11.27,208.22,60.02,5.56,435.73
2023-11-14 09:15:00,4.0,2446.7,11.73,208.66,60.02,5.7,444.06
2023-11-14 09:20:00,4.0,2532.63,12.11,209.1,60.0,5.86,445.36
2023-11-14 09:25:00,4.0,2624.79,12.55,209.21,59.99,6.08,445.41
2023-11-14 09:30:00,4.0,2698.7,12.9,209.24,60.0,6.24,445.34
2023-11-14 09:35:00,4.0,2773.08,13.25,209.23,59.99,6.42,445.35
2023-11-14 09:40:00,4.0,2848.7,13.63,209.03,60.0,6.6,445.45
2023-11-14 09:45:00,4.0,2913.7,13.93,209.2,60.01,6.78,444.09
2023-11-14 09:50:00,4.0,2980.07,14.26,209.07,60.02,6.94,442.16
2023-11-14 09:55:00,4.0,3062.57,14.64,209.19,60.01,7.14,442.0
2023-11-14 10:00:00,4.0,3134.77,14.96,209.62,60.02,7.34,440.67
2023-11-14 10:05:00,4.0,3195.43,15.25,209.52,60.0,7.5,439.6
2023-11-14 10:10:00,4.0,3248.03,15.51,209.37,60.0,7.68,436.52
2023-11-14 10:15:00,4.0,3309.4,15.81,209.38,60.0,7.8,437.0
2023-11-14 10:20:00,4.0,3372.67,16.11,209.41,60.0,7.92,439.09
2023-11-14 10:25:00,4.0,3441.23,16.44,209.32,60.0,8.06,440.23
2023-11-14 10:30:00,4.0,3498.3,16.72,209.19,60.0,8.18,440.53
2023-11-14 10:35:00,4.0,3531.37,16.87,209.41,60.0,8.32,437.31
2023-11-14 10:40:00,4.0,3557.37,16.97,209.67,60.0,8.42,435.58
2023-11-14 10:45:00,4.0,3595.63,17.13,209.85,60.01,8.5,435.1
2023-11-14 10:50:00,4.0,3615.13,17.24,209.66,60.0,8.62,432.72
2023-11-14 10:55:00,4.0,3654.83,17.43,209.7,60.0,8.74,430.46
2023-11-14 11:00:00,4.0,3680.33,17.55,209.73,60.01,8.88,426.94
2023-11-14 11:05:00,4.0,3716.29,17.74,209.53,60.0,8.96,428.32
2023-11-14 11:10:00,4.0,3738.33,17.86,209.27,60.01,9.0,426.95
2023-11-14 11:15:00,4.0,3753.57,17.94,209.19,60.01,9.06,426.96
2023-11-14 11:20:00,4.0,3781.17,18.08,209.09,59.99,9.1,428.46
2023-11-14 11:25:00,4.0,3803.42,18.18,209.18,60.0,9.2,425.9
2023-11-14 11:30:00,4.0,3810.1,18.2,209.4,60.0,9.24,425.13
2023-11-14 11:35:00,4.0,3825.73,18.27,209.4,60.01,9.24,426.63
2023-11-14 11:40:00,4.0,3848.23,18.36,209.64,60.01,9.28,426.89
2023-11-14 11:45:00,4.0,3838.8,18.33,209.38,60.01,9.26,426.76
2023-11-14 11:50:00,4.0,3816.33,18.21,209.54,60.0,9.26,424.9
2023-11-14 11:55:00,4.0,3807.27,18.17,209.52,60.01,9.28,422.7
2023-11-14 12:00:00,4.0,3793.3,18.1,209.54,60.0,9.3,420.77
2023-11-14 12:05:00,4.0,3826.5,18.27,209.51,60.0,9.28,424.46
2023-11-14 12:10:00,4.0,3823.8,18.26,209.43,60.01,9.26,425.45
2023-11-14 12:15:00,4.0,3823.27,18.26,209.35,60.02,9.26,425.48
2023-11-14 12:20:00,4.0,3805.1,18.19,209.21,59.98,9.22,425.45
2023-11-14 12:25:00,4.0,3761.9,17.97,209.29,59.99,9.16,424.04
2023-11-14 12:30:00,4.0,3737.92,17.84,209.52,60.0,9.08,424.54
2023-11-14 12:35:00,4.0,3717.07,17.73,209.68,60.0,9.02,424.58
