Timestamp,Module_Temperature_degF,Ambient_Temperature_degF,Solar_Irradiation_Wpm2,Wind_Speed_mps
2023-11-13 08:25:00,39.4,25.87,189.13,0.0
2023-11-13 08:30:00,39.77,26.13,204.53,0.0
2023-11-13 08:35:00,40.7,26.93,220.5,0.0
2023-11-13 08:40:00,41.1,26.37,235.4,0.0
2023-11-13 08:45:00,42.17,27.97,252.67,0.0
2023-11-13 08:50:00,42.7,27.73,268.07,0.0
2023-11-13 08:55:00,44.0,28.73,282.07,0.0
2023-11-13 09:00:00,44.67,29.53,299.5,0.0
2023-11-13 09:05:00,45.23,30.2,315.73,0.0
2023-11-13 09:10:00,46.2,30.7,330.67,0.0
2023-11-13 09:15:00,47.1,31.47,343.27,0.0
2023-11-13 09:20:00,48.4,31.93,357.27,0.0
2023-11-13 09:25:00,49.27,32.97,370.5,0.0
2023-11-13 09:30:00,49.77,32.93,385.33,0.0
2023-11-13 09:35:00,50.17,36.23,399.33,0.07
2023-11-13 09:40:00,49.63,37.1,411.47,0.17
2023-11-13 09:45:00,50.0,37.83,422.67,0.17
2023-11-13 09:50:00,50.53,38.4,436.67,0.17
2023-11-13 09:55:00,51.37,37.1,449.0,0.17
2023-11-13 10:00:00,52.23,38.83,459.13,0.27
2023-11-13 10:05:00,53.04,38.25,472.08,0.08
2023-11-13 10:10:00,54.07,38.8,482.0,0.07
2023-11-13 10:15:00,53.97,42.13,490.87,0.0
2023-11-13 10:20:00,54.93,40.43,498.33,0.1
2023-11-13 10:25:00,55.43,42.1,509.53,0.23
2023-11-13 10:30:00,55.47,41.23,519.8,0.47
2023-11-13 10:35:00,54.62,41.33,524.0,0.21
2023-11-13 10:40:00,55.97,42.0,537.0,0.33
2023-11-13 10:45:00,56.23,41.6,539.0,0.77
2023-11-13 10:50:00,57.83,43.77,552.07,0.17
2023-11-13 10:55:00,58.47,45.2,554.87,0.37
2023-11-13 11:00:00,59.87,43.7,566.53,0.03
2023-11-13 11:05:00,60.33,45.83,568.87,0.23
2023-11-13 11:10:00,61.93,47.33,578.2,0.03
2023-11-13 11:15:00,62.03,47.13,581.0,0.77
2023-11-13 11:20:00,61.83,47.57,586.13,0.5
2023-11-13 11:25:00,61.2,46.63,594.07,0.5
2023-11-13 11:30:00,60.47,46.77,595.0,0.2
2023-11-13 11:35:00,60.83,46.53,596.0,0.1
2023-11-13 11:40:00,62.1,48.33,599.0,0.8
2023-11-13 11:45:00,61.53,47.07,598.5,0.47
2023-11-13 11:50:00,62.67,47.8,604.5,0.57
2023-11-13 11:55:00,62.7,48.03,610.0,0.2
2023-11-13 12:00:00,62.21,47.5,608.75,0.21
2023-11-13 12:05:00,63.57,49.43,609.0,0.43
2023-11-13 12:10:00,63.9,49.73,607.5,0.43
2023-11-13 12:15:00,63.57,48.83,609.0,0.17
2023-11-13 12:20:00,62.97,48.63,609.0,0.0
2023-11-13 12:25:00,64.77,51.17,604.0,0.63
2023-11-13 12:30:00,65.53,51.7,596.5,0.37
2023-11-13 12:35:00,65.07,50.87,595.0,1.0
2023-11-13 12:40:00,63.86,50.52,595.0,0.31
2023-11-13 12:45:00,65.43,51.7,594.07,0.3
2023-11-13 12:50:00,65.1,51.17,591.27,0.87
